Loss Function,samplesize,run,nu,TPR,TNR,Accuracy,AUC,Concordance
logistic,15000,2,0.3,0.7564,0.685733333,0.721066667,0.802304738,80.22140622
logistic,15000,2,0.4,0.756933333,0.6892,0.723066667,0.803509796,80.34562667
logistic,15000,2,0.5,0.761866667,0.682,0.721933333,0.80322672,80.32016533
logistic,15000,2,0.6,0.7572,0.694266667,0.725733333,0.806281689,80.62400889
logistic,15000,2,0.7,0.759466667,0.6944,0.726933333,0.806817244,80.67623289
logistic,15000,2,0.8,0.760266667,0.687466667,0.723866667,0.805094151,80.50804622
logistic,15000,2,0.9,0.749333333,0.703866667,0.7266,0.80561512,80.55663644
logistic,15000,2,1,0.7512,0.707866667,0.729533333,0.809602178,80.95762667
logistic,16000,1,0.1,0.75175,0.6855,0.718625,0.797456016,79.71465938
logistic,16000,1,0.2,0.756875,0.683625,0.72025,0.798353531,79.82564063
logistic,16000,1,0.3,0.753125,0.68325,0.7181875,0.798624945,79.85371406
logistic,16000,1,0.4,0.756,0.687,0.7215,0.800441047,80.03739688
logistic,16000,1,0.5,0.74825,0.699,0.723625,0.799431414,79.93903125
logistic,16000,1,0.6,0.75775,0.68325,0.7205,0.80130768,80.12856406
logistic,16000,1,0.7,0.76675,0.682375,0.7245625,0.801802219,80.17601719
logistic,16000,1,0.8,0.75575,0.686375,0.7210625,0.798604055,79.85546406
logistic,16000,1,0.9,0.76325,0.682,0.722625,0.800130703,80.00564063
logistic,16000,1,1,0.761625,0.685125,0.723375,0.801783242,80.17232969
logistic,16000,2,0.1,0.756,0.674375,0.7151875,0.794461,79.4283
logistic,16000,2,0.2,0.752875,0.67625,0.7145625,0.79462043,79.45086875
logistic,16000,2,0.3,0.7515,0.685125,0.7183125,0.797868711,79.78298438
logistic,16000,2,0.4,0.753375,0.676125,0.71475,0.795849086,79.57737031
logistic,16000,2,0.5,0.745875,0.69125,0.7185625,0.798617789,79.8586
logistic,16000,2,0.6,0.758,0.677875,0.7179375,0.798597094,79.85514531
logistic,16000,2,0.7,0.758875,0.68775,0.7233125,0.800601328,80.05757969
logistic,16000,2,0.8,0.76225,0.67425,0.71825,0.797989102,79.79211406
logistic,16000,2,0.9,0.764625,0.676,0.7203125,0.79899457,79.89424531
logistic,16000,2,1,0.7665,0.68025,0.723375,0.799626719,79.95961406
logistic,17000,1,0.1,0.766705882,0.684823529,0.725764706,0.802289294,80.21353495
logistic,17000,1,0.2,0.769294118,0.686235294,0.727764706,0.804413779,80.43396678
logistic,17000,1,0.3,0.778823529,0.683882353,0.731352941,0.806383322,80.63604706
logistic,17000,1,0.4,0.773058824,0.688941176,0.731,0.807882291,80.77572734
logistic,17000,1,0.5,0.770352941,0.680823529,0.725588235,0.805648187,80.55484844
logistic,17000,1,0.6,0.770470588,0.688235294,0.729352941,0.806494962,80.64650796
logistic,17000,1,0.7,0.767764706,0.694705882,0.731235294,0.807645128,80.76203045
logistic,17000,1,0.8,0.761764706,0.695294118,0.728529412,0.804602976,80.45463114
logistic,17000,1,0.9,0.765529412,0.690705882,0.728117647,0.804446394,80.43708927
logistic,17000,1,1,0.769411765,0.684941176,0.727176471,0.806277869,80.62400415
logistic,17000,2,0.1,0.755411765,0.683529412,0.719470588,0.79902283,79.86636955
logistic,17000,2,0.2,0.749411765,0.688823529,0.719117647,0.799880913,79.96428789
logistic,17000,2,0.3,0.753294118,0.690588235,0.721941176,0.800745467,80.05997509
logistic,17000,2,0.4,0.760235294,0.676823529,0.718529412,0.800263253,80.01924983
logistic,17000,2,0.5,0.745058824,0.695764706,0.720411765,0.801389675,80.13366367
logistic,17000,2,0.6,0.762705882,0.678705882,0.720705882,0.802082069,80.20096055
logistic,17000,2,0.7,0.764470588,0.680117647,0.722294118,0.803354671,80.33044844
logistic,17000,2,0.8,0.761882353,0.679647059,0.720764706,0.803119031,80.30446367
logistic,17000,2,0.9,0.762588235,0.678117647,0.720352941,0.802730913,80.26993218
logistic,17000,2,1,0.756823529,0.691176471,0.724,0.803358478,80.32523875
logistic,18000,1,0.1,0.751666667,0.685777778,0.718722222,0.798539025,79.82897654
logistic,18000,1,0.2,0.748111111,0.693333333,0.720722222,0.800216889,80.01199012
logistic,18000,1,0.3,0.753888889,0.692,0.722944444,0.801797136,80.17368765
logistic,18000,1,0.4,0.753222222,0.688111111,0.720666667,0.800317,80.0269716
logistic,18000,1,0.5,0.758888889,0.691444444,0.725166667,0.802152698,80.19932716
logistic,18000,1,0.6,0.759,0.678444444,0.718722222,0.800636284,80.04764444
logistic,18000,1,0.7,0.751444444,0.692666667,0.722055556,0.801873222,80.17755802
logistic,18000,1,0.8,0.751555556,0.698444444,0.725,0.802161494,80.2112
logistic,18000,1,0.9,0.756444444,0.694222222,0.725333333,0.802033086,80.19800864
logistic,18000,1,1,0.760888889,0.687111111,0.724,0.801769043,80.17460988
logistic,18000,2,0.1,0.750222222,0.683,0.716611111,0.796876975,79.65211852
logistic,18000,2,0.2,0.753666667,0.676,0.714833333,0.795470802,79.54028765
logistic,18000,2,0.3,0.757,0.677666667,0.717333333,0.79678629,79.65623704
logistic,18000,2,0.4,0.757222222,0.677777778,0.7175,0.797013821,79.69197531
logistic,18000,2,0.5,0.758222222,0.680222222,0.719222222,0.799023037,79.89653333
logistic,18000,2,0.6,0.763333333,0.674222222,0.718777778,0.798285772,79.82600741
logistic,18000,2,0.7,0.755888889,0.685555556,0.720722222,0.801412389,80.1382
logistic,18000,2,0.8,0.757,0.692777778,0.724888889,0.803962154,80.3937321
logistic,18000,2,0.9,0.754,0.687,0.7205,0.800893062,80.08013086
logistic,18000,2,1,0.757,0.685555556,0.721277778,0.800655537,80.05485185
logistic,19000,1,0.1,0.752842105,0.673684211,0.713263158,0.792599418,79.22738283
logistic,19000,1,0.2,0.751684211,0.676947368,0.714315789,0.793763352,79.35155457
logistic,19000,1,0.3,0.760631579,0.668736842,0.714684211,0.793812809,79.37186482
logistic,19000,1,0.4,0.750315789,0.677473684,0.713894737,0.793950382,79.37450637
logistic,19000,1,0.5,0.754421053,0.677578947,0.716,0.795536017,79.53712798
logistic,19000,1,0.6,0.758421053,0.677473684,0.717947368,0.795933939,79.56722105
logistic,19000,1,0.7,0.755263158,0.681052632,0.718157895,0.797452898,79.73700055
logistic,19000,1,0.8,0.759578947,0.674947368,0.717263158,0.795192798,79.51365873
logistic,19000,1,0.9,0.759894737,0.676947368,0.718421053,0.796116748,79.5913097
logistic,19000,1,1,0.746315789,0.687473684,0.716894737,0.795060028,79.5011036
logistic,19000,2,0.1,0.754736842,0.678526316,0.716631579,0.796846482,79.6655169
logistic,19000,2,0.2,0.748315789,0.682421053,0.715368421,0.795960388,79.5843723
logistic,19000,2,0.3,0.751894737,0.685684211,0.718789474,0.799309823,79.92110914
logistic,19000,2,0.4,0.752421053,0.684,0.718210526,0.798372233,79.82302825
logistic,19000,2,0.5,0.750842105,0.685157895,0.718,0.799608316,79.95312687
logistic,19000,2,0.6,0.760421053,0.677473684,0.718947368,0.801554216,80.1518903
logistic,19000,2,0.7,0.763684211,0.678421053,0.721052632,0.801062122,80.10279557
logistic,19000,2,0.8,0.766526316,0.682,0.724263158,0.803559407,80.34709806
logistic,19000,2,0.9,0.768105263,0.679368421,0.723736842,0.803665856,80.3619856
logistic,19000,2,1,0.759052632,0.684210526,0.721631579,0.800835812,80.07505706
logistic,20000,1,0.1,0.7552,0.681,0.7181,0.79849429,79.813354
logistic,20000,1,0.2,0.7575,0.6796,0.71855,0.798668025,79.857215
logistic,20000,1,0.3,0.7515,0.6882,0.71985,0.79912202,79.903633
logistic,20000,1,0.4,0.7522,0.6912,0.7217,0.79990785,79.983623
logistic,20000,1,0.5,0.754,0.6862,0.7201,0.801161435,80.113482
logistic,20000,1,0.6,0.7724,0.6679,0.72015,0.800247045,80.016289
logistic,20000,1,0.7,0.7622,0.6917,0.72695,0.802746855,80.270155
logistic,20000,1,0.8,0.7742,0.6635,0.71885,0.796089055,79.595749
logistic,20000,1,0.9,0.7569,0.6872,0.72205,0.801499905,80.141824
logistic,20000,1,1,0.7657,0.6801,0.7229,0.800005795,79.996484
logistic,20000,2,0.1,0.7589,0.6766,0.71775,0.79910281,79.88206
logistic,20000,2,0.2,0.7573,0.6813,0.7193,0.79869807,79.864231
logistic,20000,2,0.3,0.7581,0.6781,0.7181,0.79912185,79.905868
logistic,20000,2,0.4,0.7591,0.6829,0.721,0.8007413,80.07104
logistic,20000,2,0.5,0.7536,0.6902,0.7219,0.79955407,79.935586
logistic,20000,2,0.6,0.7515,0.6823,0.7169,0.797765845,79.772074
logistic,20000,2,0.7,0.7674,0.6762,0.7218,0.800141315,80.005439
logistic,20000,2,0.8,0.7642,0.6814,0.7228,0.800490335,80.045015
logistic,20000,2,0.9,0.7622,0.6742,0.7182,0.79713666,79.708733
logistic,20000,2,1,0.7406,0.7089,0.72475,0.801291265,80.124536
