"Objective Parm","samplesize","run","TPR","TNR","Accuracy","AUC","Concordance"
binary:logistic,16000,6,0.732125,0.799625,0.765875,0.8497717890625,0.849261765625
binary:logistic,16000,7,0.717875,0.79825,0.7580625,0.8412770703125,0.84080896875
binary:logistic,16000,8,0.71175,0.7935,0.752625,0.8350171015625,0.834433515625
binary:logistic,16000,9,0.71975,0.806875,0.7633125,0.8447279609375,0.84420090625
binary:logistic,16000,10,0.713125,0.805375,0.75925,0.8382219609375,0.8374435625
binary:logistic,17000,1,0.719058823529412,0.790823529411765,0.754941176470588,0.841851010380623,0.841473079584775
binary:logistic,17000,2,0.703294117647059,0.802352941176471,0.752823529411765,0.834854415224913,0.834159640138408
binary:logistic,17000,3,0.711882352941177,0.802588235294118,0.757235294117647,0.839192242214533,0.838337688581315
binary:logistic,17000,4,0.710470588235294,0.798588235294118,0.754529411764706,0.834950899653979,0.834625384083045
binary:logistic,17000,5,0.705529411764706,0.803411764705882,0.754470588235294,0.833377100346021,0.833047598615917
binary:logistic,17000,6,0.692588235294118,0.809529411764706,0.751058823529412,0.830862560553633,0.829985743944637
binary:logistic,17000,7,0.708352941176471,0.803882352941176,0.756117647058824,0.838435252595156,0.837922422145329
binary:logistic,17000,8,0.705529411764706,0.805411764705882,0.755470588235294,0.838571813148789,0.837909979238754
binary:logistic,17000,9,0.700117647058824,0.812117647058823,0.756117647058824,0.837821972318339,0.836951557093426
binary:logistic,17000,10,0.714352941176471,0.803882352941176,0.759117647058824,0.840448698961938,0.839582934256055
binary:logistic,18000,1,0.711666666666667,0.805555555555556,0.758611111111111,0.83955249382716,0.838771679012346
binary:logistic,18000,2,0.704222222222222,0.797,0.750611111111111,0.835759679012346,0.834926790123457
binary:logistic,18000,3,0.711444444444444,0.791333333333333,0.751388888888889,0.834513679012346,0.833719814814815
binary:logistic,18000,4,0.709111111111111,0.786111111111111,0.747611111111111,0.834453104938272,0.834274938271605
binary:logistic,18000,5,0.712111111111111,0.793555555555556,0.752833333333333,0.838127882716049,0.837801987654321
binary:logistic,18000,6,0.710555555555556,0.805222222222222,0.757888888888889,0.840310635802469,0.839396049382716
binary:logistic,18000,7,0.699111111111111,0.801333333333333,0.750222222222222,0.833408160493827,0.832997172839506
binary:logistic,18000,8,0.714111111111111,0.798666666666667,0.756388888888889,0.838818740740741,0.83844850617284
binary:logistic,18000,9,0.713444444444444,0.796555555555556,0.755,0.840183697530864,0.839836432098765
binary:logistic,18000,10,0.711777777777778,0.796777777777778,0.754277777777778,0.836746172839506,0.836155308641975
binary:logistic,19000,1,0.702947368421053,0.788210526315789,0.745578947368421,0.82885703601108,0.82805912465374
binary:logistic,19000,2,0.711578947368421,0.789263157894737,0.750421052631579,0.833132315789474,0.831838747922438
binary:logistic,19000,3,0.721368421052632,0.788736842105263,0.755052631578947,0.837094770083103,0.836833096952909
binary:logistic,19000,4,0.714421052631579,0.804842105263158,0.759631578947368,0.840864825484765,0.839970570637119
binary:logistic,19000,5,0.7,0.804842105263158,0.752421052631579,0.836635695290859,0.836473684210526
binary:logistic,19000,6,0.705157894736842,0.798947368421053,0.752052631578947,0.834538914127424,0.833879745152355
binary:logistic,19000,7,0.718315789473684,0.790421052631579,0.754368421052632,0.8395808033241,0.83889540166205
binary:logistic,19000,8,0.709052631578947,0.80178947368421,0.755421052631579,0.83720696398892,0.836755191135734
binary:logistic,19000,9,0.713894736842105,0.793894736842105,0.753894736842105,0.835575013850416,0.834464709141274
binary:logistic,19000,10,0.712842105263158,0.796842105263158,0.754842105263158,0.837977224376731,0.837633263157895
binary:logistic,20000,1,0.7119,0.7972,0.75455,0.835216385,0.83456887
binary:logistic,20000,2,0.7077,0.7974,0.75255,0.83767518,0.83732901
binary:logistic,20000,3,0.71,0.7907,0.75035,0.835512925,0.834958
binary:logistic,20000,4,0.7186,0.7928,0.7557,0.837106605,0.83652509
binary:logistic,20000,5,0.7156,0.7865,0.75105,0.836146875,0.83543261
binary:logistic,20000,6,0.7167,0.789,0.75285,0.83652125,0.83582612
binary:logistic,20000,7,0.7122,0.7977,0.75495,0.837364235,0.83682638
binary:logistic,20000,8,0.7053,0.7985,0.7519,0.83226949,0.83110302
binary:logistic,20000,9,0.7172,0.7915,0.75435,0.83685237,0.83626194
binary:logistic,20000,10,0.7206,0.7898,0.7552,0.83695616,0.83664849
